Offer Name,Title,Description,Type,Code,Offer Page  ( Ctrl C to copy ),start_date(m/d/Year),Expiry,Coupon_featured,Tracking Extra parameter
Flipkart,Moto G is Back on Flipkart,Moto G is Back on Flipkart. Shop Now!!!! Offer valid ONLY on products listed on the landing page. No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=1051,4/6/2015,5/31/2016,60,aff_sub
Flipkart,Get Best Offer on All Personal Care Products,"Get Best Offer on All Personal Care Products like Trimmers & Savers, Hair Dryers & much more at flipkart. Shop Now!!!! Offer valid ONLY on products listed on the landing page. No coupon code required.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=3904,4/16/2015,5/31/2016,61,aff_sub
Flipkart,Minimum 40% off on eLearning Books,Minimum 40% off on eLearning Books at flipkart. Click to see the deal on the landing page. Hurry up!!!!! Valid Till Stock Lasts. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=3352,4/23/2015,5/31/2016,62,aff_sub
Flipkart,Minimum 50% off on Womens Footwear,Minimum 50% off on Womens Footwear at flipkart. Click to see the deal on the landing page. Hurry up!!!!! Limited period offer. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=441,6/1/2015,5/31/2016,63,aff_sub
Flipkart,Upto 40% off on Selected Toys,Upto 40% off on Selected Toys at flipkart. No coupon code is required for this deal. Click to see the deal on the landing page. Hurry up!!!!! Shop Now!!! Limited period offer.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=875,9/15/2014,5/31/2016,64,aff_sub
Flipkart,Flipkart Offer Zone @ All Products,"Flipkart Offer Zone at All Products like Laptops, Mobiles, Fashion Accessories, Cameras, Shoes and much more at flipkart.com. Click to view the offer at landing page. Hurry up!!! Shop Now. No promo code required.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=285,4/9/2015,5/31/2016,65,aff_sub
Zivame,Jockey Products Starting @ Rs. 139,Jockey Products Starting @ Rs. 139 at zivame. Click to see the deal on the landing page. Limited period offer. Shop Now!!!! No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=409&aff_id=3094&url_id=2003,4/16/2015,5/31/2016,66,aff_sub
Zivame,Eoss: Flat 40% off on Selected Catalogue,Eoss: Flat 40% off on Selected Catalogue at zivame. CLICK TO VIEW the offer on the landing page. Hurry up!!!!! Limited period offer. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=409&aff_id=3094&url_id=1445,9/22/2014,5/31/2016,67,aff_sub
Firstcry,Upto 60% to 90% off on Selected Products & Brands,Upto 60% to 90% off on Selected Products & Brands at firstcry. Shop Now!!!! Offer valid ONLY on products listed on the landing page. No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094&url_id=4438,4/14/2015,5/31/2016,68,aff_sub
Firstcry,Firstcry Mega Sale at All Products,"Firstcry Mega Sale: Upto 60% off on All Products like Babby gear, footwear, apparels & much more at firstcry.com. Shop Now!!!! Offer valid ONLY on products listed on the landing page.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094&url_id=4436,4/14/2015,5/31/2016,69,aff_sub
Fashionara,Flat 50% off on Florence Products,Flat 50% off on Florence Products for Women's at fashionara.com. No coupon code is required for this deal. Hurry up!!!!! Shop Now!!! Limited period offer.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=56&aff_id=3094&url=http://www.fashionara.com/shopby/brand-florence.html%3Futm_source%3DiCubes%26utm_medium%3Dbanner%26utm_campaign%3Dicubescps,4/20/2015,5/31/2016,70,aff_sub
Fashionara,Flat 70% off Avirate Items,Flat 70% off Avirate Products for Women\\\\\\'s at Fashionara. Offer valid ONLY on products listed on the landing page. No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=56&aff_id=3094&url=http://www.fashionara.com/shopby/brand-avirate.html%3Futm_source%3DiCubes%26utm_medium%3Dbanner%26utm_campaign%3Dicubescps,4/15/2015,5/31/2016,71,aff_sub
